Format: Draw Number,Draw Date (yyyymmdd),Winning Number 1,2,3,4,5,6,Supplementary 1,2,Division 1,2,3,4,5,6
643,19870919,15,31,19,2,27,11,20,16
645,19870926,11,20,31,44,35,6,26,28
647,19871003,41,12,26,44,3,33,2,24
649,19871010,14,41,9,35,7,20,45,40
651,19871017,16,44,41,40,13,19,9,32
653,19871024,36,17,23,43,39,25,5,10
655,19871031,33,32,7,11,10,16,19,45
657,19871107,16,27,41,17,4,42,13,14
659,19871114,34,40,45,13,12,18,43,8
661,19871121,38,29,43,41,26,44,39,5
663,19871128,24,43,12,9,25,26,21,28
665,19871205,1,24,16,32,2,38,45,37
667,19871212,26,27,44,38,23,36,3,45
669,19871219,42,27,45,21,25,19,13,12
671,19871226,10,27,21,25,5,22,23,13
673,19880102,8,31,21,42,33,19,23,44
675,19880109,45,7,5,39,13,8,11,29
677,19880116,44,2,43,11,14,10,34,24
679,19880123,31,8,3,24,39,9,35,6
681,19880130,26,29,44,17,3,2,28,40
683,19880206,10,43,28,27,14,41,31,23
685,19880213,37,25,34,9,21,27,3,31
687,19880220,25,42,41,27,17,10,23,44
689,19880227,35,25,15,12,34,11,28,5
691,19880305,13,44,43,38,26,41,40,29
693,19880312,20,25,32,30,40,17,8,29
695,19880319,2,20,1,8,16,12,4,23
697,19880326,1,39,13,34,36,12,30,18
699,19880402,42,41,37,29,32,34,3,31
701,19880409,36,35,23,20,19,31,13,1
703,19880416,12,4,18,6,8,17,21,20
705,19880423,23,4,11,18,12,19,30,36
707,19880430,8,6,19,15,44,14,36,17
709,19880507,11,22,14,32,40,3,35,36
711,19880514,25,13,41,42,21,31,15,2
713,19880521,7,10,16,28,17,26,43,24
715,19880528,7,6,29,11,8,21,30,31
717,19880604,38,33,27,8,34,3,36,2
719,19880611,5,11,15,36,42,18,27,21
721,19880618,15,24,4,10,19,34,35,36
723,19880625,28,3,12,42,41,6,13,25
725,19880702,8,36,42,26,27,3,44,4
727,19880709,30,44,5,15,9,24,2,19
729,19880716,2,22,43,5,25,37,13,9
731,19880723,31,26,10,28,3,16,45,5
733,19880730,35,9,44,8,23,21,20,36
735,19880806,10,42,7,20,16,22,35,38
