Draw Number, Draw Date, Col1, Col2, Col3, Col4, Col5, Col6, Powerball, Div1, Div2, Div3, Div4, Div5, Div6, Div7, Div8
"116","19980806","5","26","27","39","24","-","28","$9,058,641.34","$51,661.35","$5,060.70","$94.70","$54.95","$18.80","$10.45"
"117","19980813","17","20","28","27","15","-","4","$0.00","$29,957.40","$5,618.40","$92.25","$48.85","$19.10","$9.10"
"118","19980820","17","11","45","16","42","-","14","$0.00","$82,472.90","$9,048.45","$122.20","$62.55","$21.90","$11.80"
"119","19980827","16","31","28","19","41","-","45","$0.00","$50,318.35","$5,308.30","$105.70","$56.15","$19.45","$10.60"
"120","19980903","41","6","22","7","31","-","10","$0.00","$135,034.50","$6,173.00","$108.25","$57.80","$19.45","$10.65"
"121","19980910","1","19","32","20","14","-","18","$0.00","$55,475.85","$5,295.00","$102.10","$53.70","$19.75","$10.40"
"122","19980917","33","37","38","34","25","-","1","$0.00","$70,788.25","$5,710.65","$117.95","$52.95","$22.70","$10.95"
"123","19980924","1","14","17","15","34","-","14","$17,531,785.49","$63,183.05","$6,543.95","$116.75","$57.75","$21.85","$10.75"
"124","19981001","16","11","30","4","36","-","38","$0.00","$129,076.85","$5,021.85","$111.15","$46.80","$21.70","$9.45"
"125","19981008","3","24","19","10","37","-","5","$0.00","$50,234.15","$4,510.80","$87.90","$45.75","$18.15","$9.05"
"126","19981015","35","22","44","12","28","-","42","$0.00","$32,664.50","$3,684.60","$101.00","$40.10","$20.25","$9.35"
"127","19981022","40","17","7","45","32","-","44","$0.00","$50,239.80","$5,321.55","$116.40","$54.25","$20.55","$10.85"
"128","19981029","10","42","34","33","25","-","33","$12,000,000.00","$47,459.55","$6,000.95","$110.90","$56.95","$21.45","$10.85"
"129","19981105","39","5","35","38","15","-","12","$0.00","$62,042.55","$4,630.60","$101.05","$52.15","$20.45","$10.05"
"130","19981112","8","18","31","20","38","-","19","$3,000,000.00","$61,307.15","$6,005.60","$88.15","$53.20","$18.45","$9.85"
"131","19981119","10","42","7","20","12","-","18","$0.00","$97,709.30","$3,988.15","$95.80","$45.95","$18.05","$9.15"
"132","19981126","11","28","25","15","24","-","33","$3,000,000.00","$45,004.15","$4,331.25","$98.25","$46.05","$19.75","$9.30"
"133","19981203","10","22","41","25","29","-","38","$0.00","$232,822.60","$6,081.90","$121.30","$62.35","$22.20","$10.70"
"134","19981210","31","12","20","4","7","-","41","$3,000,000.00","$44,312.65","$5,182.10","$94.25","$39.65","$21.45","$8.15"
"135","19981217","37","45","12","36","7","-","13","$0.00","$90,334.30","$4,801.80","$87.05","$55.60","$16.80","$10.65"
"136","19981224","8","39","40","27","20","-","4","$0.00","$79,186.15","$6,668.30","$111.55","$55.40","$20.00","$10.40"
"137","19981231","27","19","4","41","31","-","39","$0.00","$52,873.20","$6,305.40","$114.00","$50.40","$21.60","$9.90"
"138","19990107","40","28","1","4","18","-","6","$0.00","$49,742.00","$5,247.50","$100.80","$52.30","$19.15","$10.25"
"139","19990114","39","32","26","16","1","-","26","$0.00","$56,504.70","$9,686.50","$115.30","$57.55","$21.30","$10.95"
"140","19990121","41","18","24","20","5","-","24","$15,000,000.00","$65,368.05","$5,045.10","$106.45","$55.65","$20.75","$10.55"
"141","19990128","15","41","4","33","3","-","44","$684,390.27","$56,801.10","$7,538.60","$108.20","$64.95","$20.30","$11.40"
"142","19990204","29","18","42","25","35","-","12","$0.00","$45,331.85","$3,736.95","$98.15","$55.70","$20.05","$10.70"
"143","19990211","40","34","17","11","23","-","26","$0.00","$64,093.65","$6,010.25","$110.30","$49.40","$21.25","$10.10"
"144","19990218","7","43","45","13","22","-","33","$0.00","$50,085.75","$5,411.85","$101.90","$48.80","$19.80","$9.65"
"145","19990225","18","17","33","16","8","-","39","$0.00","$57,335.65","$3,822.40","$103.85","$50.30","$21.30","$9.75"
